classement_inter,dossard,nom,categorie,temps_inter,ecart_premier_inter,nationalite
1,5,Thomas CARDIN,SE-M0H (1),03:28:34,00:00:00,France
2,10,Ben DHIMAN,SE-M0H (2),03:29:26,00:00:51,Etats-Unis
3,6,Andrzej WITEK,SE-M0H (3),03:30:53,00:02:19,Pologne
4,14,Antoine CHARVOLIN,SE-M0H (4),03:31:37,00:03:02,France
5,53,Corentin PLAY,SE-M0H (5),03:34:43,00:06:08,France
6,24,Virgile MORISET,SE-M0H (6),03:35:15,00:06:40,France
7,26,Paul CORNUT-CHAUVINC,SE-M0H (7),03:36:25,00:07:51,France
8,12,Lambert SANTELLI,SE-M0H (8),03:38:27,00:09:53,France
9,11,Baptiste CHASSAGNE,SE-M0H (9),03:38:37,00:10:02,France
10,31,Pierre-Emmanuel ALEXANDRE,SE-M0H (10),03:38:49,00:10:15,France
11,25,Romain MAILLARD,M1-M2H (1),03:39:09,00:10:35,France
12,13,Theo DETIENNE,SE-M0H (11),03:42:50,00:14:16,France
13,60,Guillaume LACASSAGNE,M1-M2H (2),03:43:12,00:14:38,France
14,54,Sylvain ROTA,M1-M2H (3),03:44:51,00:16:16,France
15,32,Pierre DEFONTAINE,SE-M0H (12),03:47:26,00:18:51,France
16,29,Pierre-André ANIZAN,SE-M0H (13),03:48:55,00:20:20,France
17,23,Didrik HERMANSEN,M1-M2H (4),03:51:17,00:22:43,Norvège
18,21,Clovis CHAVEROT,SE-M0H (14),03:52:36,00:24:01,France
19,33,Florent SOLEILHAC,SE-M0H (15),03:54:27,00:25:53,France
20,59,Ke Mael RABOUINT,SE-M0H (16),03:55:32,00:26:57,France
21,62,Simen WÄSTLUND,SE-M0H (17),03:57:14,00:28:39,Suède
22,9723,Mael BARON,SE-M0H (18),03:57:21,00:28:47,France
23,8323,Yoann MAHIEU,SE-M0H (19),03:59:03,00:30:28,France
24,6209,Benoit ROBELIN,SE-M0H (20),03:59:50,00:31:15,France
25,7448,Mathieu DELOMIER,SE-M0H (21),04:00:51,00:32:16,France
26,47,Emmanuel GAULT,M1-M2H (5),04:01:56,00:33:21,France
27,50,Florian LANIEL,SE-M0H (22),04:02:23,00:33:49,France
28,1161,Antoine PERRIN,SE-M0H (23),04:02:31,00:33:57,France
29,46,Adrien CHOUCHOU,SE-M0H (24),04:03:02,00:34:27,Algérie
30,9006,Hippolyte PESCI,SE-M0H (25),04:04:39,00:36:05,France
31,76,Massimo PALADIN,M1-M2H (6),04:07:16,00:38:41,Italie
32,55,Sidney THOMASSET,SE-M0H (26),04:07:17,00:38:42,France
33,64,Lilian CALMEJANE,SE-M0H (27),04:07:18,00:38:44,France
34,8322,Hadrien LEROUGE,SE-M0H (28),04:08:51,00:40:17,France
35,8,Marie GONCALVES,SE-M0F (1),04:09:40,00:41:05,France
36,10644,Noa OHMS,ES H (1),04:09:56,00:41:22,Allemagne
37,10386,Mickael MAZZA,SE-M0H (29),04:10:02,00:41:28,France
38,1210,Paul OGIER,SE-M0H (30),04:10:22,00:41:48,France
39,6530,Edouard LECULIER,SE-M0H (31),04:11:08,00:42:33,France
40,1271,Martin KAO,SE-M0H (32),04:11:26,00:42:52,France
41,45,Benoît CHAUVET,M1-M2H (7),04:11:41,00:43:07,France
42,9570,Louis STAQUET,SE-M0H (33),04:11:45,00:43:10,France
43,8208,Benjamin SARRADE-LOUCHEUR,SE-M0H (34),04:11:57,00:43:23,France
44,8194,Hugo BRUYÈRE,SE-M0H (35),04:12:31,00:43:57,France
45,61,Tobias OLLA,SE-M0H (36),04:12:57,00:44:22,France
46,7387,Charles LHOPITEAU,SE-M0H (37),04:13:09,00:44:34,France
47,9449,Erwan CARRON,SE-M0H (38),04:13:37,00:45:03,France
48,3,Adeline MARTIN,M1-M2F (1),04:13:44,00:45:09,France
49,7,Eleanor DAVIS,SE-M0F (2),04:13:56,00:45:22,Royaume-Uni
