classement_inter,dossard,nom,categorie,temps_inter,ecart_premier_inter,nationalite
1,5,Thomas CARDIN,SE-M0H (1),04:24:34,00:00:00,France
2,10,Ben DHIMAN,SE-M0H (2),04:26:26,00:01:52,Etats-Unis
3,6,Andrzej WITEK,SE-M0H (3),04:30:50,00:06:15,Pologne
4,14,Antoine CHARVOLIN,SE-M0H (4),04:34:57,00:10:22,France
5,24,Virgile MORISET,SE-M0H (5),04:36:24,00:11:50,France
6,53,Corentin PLAY,SE-M0H (6),04:37:04,00:12:29,France
7,31,Pierre-Emmanuel ALEXANDRE,SE-M0H (7),04:38:32,00:13:57,France
8,26,Paul CORNUT-CHAUVINC,SE-M0H (8),04:38:39,00:14:05,France
9,12,Lambert SANTELLI,SE-M0H (9),04:40:36,00:16:01,France
10,11,Baptiste CHASSAGNE,SE-M0H (10),04:46:14,00:21:39,France
11,60,Guillaume LACASSAGNE,M1-M2H (1),04:47:34,00:23:00,France
12,54,Sylvain ROTA,M1-M2H (2),04:49:11,00:24:37,France
13,23,Didrik HERMANSEN,M1-M2H (3),04:53:00,00:28:26,Norvège
14,13,Theo DETIENNE,SE-M0H (11),04:53:05,00:28:31,France
15,29,Pierre-André ANIZAN,SE-M0H (12),04:57:05,00:32:31,France
16,32,Pierre DEFONTAINE,SE-M0H (13),04:58:58,00:34:24,France
17,59,Ke Mael RABOUINT,SE-M0H (14),05:01:29,00:36:54,France
18,21,Clovis CHAVEROT,SE-M0H (15),05:03:29,00:38:55,France
19,33,Florent SOLEILHAC,SE-M0H (16),05:04:04,00:39:30,France
20,62,Simen WÄSTLUND,SE-M0H (17),05:04:13,00:39:39,Suède
21,9723,Mael BARON,SE-M0H (18),05:05:33,00:40:58,France
22,6209,Benoit ROBELIN,SE-M0H (19),05:07:34,00:43:00,France
23,7448,Mathieu DELOMIER,SE-M0H (20),05:08:42,00:44:08,France
24,1161,Antoine PERRIN,SE-M0H (21),05:10:31,00:45:57,France
25,50,Florian LANIEL,SE-M0H (22),05:12:19,00:47:45,France
26,47,Emmanuel GAULT,M1-M2H (4),05:12:21,00:47:46,France
